# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
-11.3794 14.0068 0 0.731368 -1.13023 199.895 0 -13 -2 1 0 1 0.0747429 -0.0772446 -1.99189 0 0 0 
-11.3743 14.0074 0.4995 0.744619 -1.11794 199.895 0.0018847 -13 -2 1 0 1 0.0748029 -0.077381 -1.9861 0 0 0 
-11.3742 14.0074 0.5005 0.744646 -1.11791 199.895 0.00188847 -13 -2 1 0 1 0.074803 -0.0773813 -1.98609 0 0 0 
-10.3472 14.1234 100.494 3.37091 1.62517 199.865 0.379181 -13 -2 1 0 1 0.0792823 -0.0966687 -0.689678 0 0 0 
-7.9145 15.5279 200.453 6.51401 3.73174 199.759 0.756473 -13 -2 1 0 1 0.0623841 -0.108819 0.714144 0 0 0 
-3.66701 17.4361 300.342 10.553 3.32009 199.594 1.13376 -13 -2 1 0 1 0.0301794 -0.104304 2.00417 0 0 0 
2.50993 18.1908 400.146 13.7193 -0.932589 199.426 1.51106 -13 -2 1 0 1 0.00243361 -0.0666371 2.93688 0 0 0 
9.36309 16.1214 499.884 12.8299 -7.34394 199.353 1.88835 -13 -2 1 0 1 0.0115264 -0.00671405 3.28241 0 0 0 
14.6204 11.2605 599.623 7.76185 -11.3534 199.426 2.26564 -13 -2 1 0 1 0.0592705 0.0311387 2.93815 0 0 0 
17.1072 5.55801 699.427 2.51111 -10.7585 199.595 2.64293 -13 -2 1 0 1 0.106399 0.0261111 2.0063 0 0 0 
17.6339 0.948092 799.317 0.135775 -7.4506 199.761 3.02022 -13 -2 1 0 1 0.127061 0.000668168 0.713176 0 0 0 
17.6873 -1.82021 899.277 0.376328 -3.6198 199.867 3.39752 -13 -2 1 0 1 0.125403 -0.0197634 -0.691226 0 0 0 
18.1383 -2.69239 999.271 1.38476 0.103141 199.895 3.77481 -13 -2 1 0 1 0.106425 -0.0251984 -1.98563 0 0 0 
18.8906 -1.79876 1099.26 1.34666 3.29223 199.868 4.1521 -13 -2 1 0 1 0.0644266 -0.0182784 -2.9252 0 0 0 
19.2227 0.287071 1199.24 -0.185494 4.60867 199.847 4.52939 -13 -2 1 0 1 0.000546784 -0.0133278 -3.27667 0 0 0 
18.7149 2.33798 1299.22 -1.66068 3.16173 199.868 4.90669 -13 -2 1 0 1 -0.0629119 -0.020021 -2.93561 0 0 0 
17.8355 3.15114 1399.21 -1.57456 -0.070553 199.894 5.28398 -13 -2 1 0 1 -0.104129 -0.0278077 -2.00398 0 0 0 
17.3203 2.20088 1499.2 -0.447478 -3.74719 199.864 5.66127 -13 -2 1 0 1 -0.122648 -0.0224166 -0.710325 0 0 0 
17.2554 -0.611288 1599.16 -0.113802 -7.49849 199.759 6.03856 -13 -2 1 0 1 -0.124501 -0.0016756 0.693699 0 0 0 
16.7619 -5.23098 1699.05 -2.40073 -10.7607 199.596 6.41585 -13 -2 1 0 1 -0.104784 0.0243576 1.98681 0 0 0 
14.3475 -10.9403 1798.86 -7.59284 -11.3938 199.431 6.79315 -13 -2 1 0 1 -0.0589667 0.0305606 2.92588 0 0 0 
9.17109 -15.8442 1898.6 -12.6948 -7.47644 199.356 7.17044 -13 -2 1 0 1 -0.012003 -0.0058849 3.27967 0 0 0 
2.35818 -17.9959 1998.34 -13.6997 -1.11554 199.427 7.54773 -13 -2 1 0 1 -0.00306466 -0.0652042 2.94455 0 0 0 
-3.83708 -17.331 2098.14 -10.637 3.14933 199.592 7.92502 -13 -2 1 0 1 -0.0310835 -0.103293 2.01938 0 0 0 
