# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
0 0 0 0 0 200 0 -13 -2 1 0 1 -1.30462e-17 -0.0441814 0.291035 0 0 0 
0.000857208 -6.259e-07 5 0.0697668 -7.60832e-05 200 0.0188625 -13 -2 1 0 1 -4.9835e-07 -0.0489502 0.297087 0 0 0 
0.00354962 -5.20507e-06 10 0.146881 -0.000320348 200 0.0377251 -13 -2 1 0 1 -2.10656e-06 -0.0539744 0.303005 0 0 0 
0.00826531 -1.8259e-05 15 0.231682 -0.000758555 200 0.0565876 -13 -2 1 0 1 -5.00814e-06 -0.0592189 0.309116 0 0 0 
0.015201 -4.4979e-05 20 0.324548 -0.00141842 200 0.0754502 -13 -2 1 0 1 -9.39386e-06 -0.0647281 0.315072 0 0 0 
0.0245629 -9.12758e-05 25 0.425836 -0.00232987 200 0.0943127 -13 -2 1 0 1 -1.54746e-05 -0.0704688 0.321035 0 0 0 
0.0365662 -0.000163837 30 0.535929 -0.00352519 199.999 0.113175 -13 -2 1 0 1 -2.34728e-05 -0.0764762 0.327002 0 0 0 
0.0514359 -0.00027019 34.9999 0.655206 -0.00503901 199.999 0.132038 -13 -2 1 0 1 -3.36139e-05 -0.0827213 0.332834 0 0 0 
0.069406 -0.000418742 39.9999 0.784026 -0.00690756 199.998 0.1509 -13 -2 1 0 1 -4.61534e-05 -0.0892319 0.338662 0 0 0 
0.0907202 -0.000618858 44.9999 0.922803 -0.00917085 199.998 0.169763 -13 -2 1 0 1 -6.13403e-05 -0.0959966 0.344396 0 0 0 
0.115632 -0.000880909 49.9998 1.07188 -0.0118693 199.997 0.188625 -13 -2 1 0 1 -7.9424e-05 -0.102993 0.349956 0 0 0 
0.144404 -0.00121632 54.9997 1.23166 -0.0150472 199.996 0.207488 -13 -2 1 0 1 -0.000100709 -0.110269 0.355503 0 0 0 
0.177307 -0.00163765 59.9996 1.40251 -0.0187503 199.995 0.226351 -13 -2 1 0 1 -0.000125448 -0.117797 0.360903 0 0 0 
0.214624 -0.00215861 64.9995 1.58477 -0.0230262 199.994 0.245213 -13 -2 1 0 1 -0.00015388 -0.125511 0.366025 0 0 0 
0.256644 -0.00279414 69.9993 1.77883 -0.0279249 199.992 0.264076 -13 -2 1 0 1 -0.000186397 -0.133557 0.371199 0 0 0 
0.303667 -0.00356048 74.9991 1.98505 -0.0334989 199.99 0.282938 -13 -2 1 0 1 -0.000223115 -0.141743 0.375981 0 0 0 
0.356 -0.00447514 79.9988 2.20369 -0.0397998 199.988 0.301801 -13 -2 1 0 1 -0.000264448 -0.150219 0.380708 0 0 0 
0.413959 -0.00555701 84.9985 2.43518 -0.0468846 199.985 0.320663 -13 -2 1 0 1 -0.000310538 -0.158867 0.385131 0 0 0 
0.477868 -0.00682636 89.9981 2.67977 -0.0548082 199.982 0.339526 -13 -2 1 0 1 -0.000361708 -0.167738 0.389367 0 0 0 
0.548058 -0.00830488 94.9976 2.93771 -0.063627 199.978 0.358388 -13 -2 1 0 1 -0.000418105 -0.176768 0.393301 0 0 0 
0.624868 -0.0100157 99.997 3.2094 -0.0734007 199.974 0.377251 -13 -2 1 0 1 -0.000480043 -0.186058 0.397076 0 0 0 
0.708643 -0.0119833 104.996 3.49495 -0.0841852 199.969 0.396113 -13 -2 1 0 1 -0.000547507 -0.195334 0.400376 0 0 0 
0.799734 -0.0142338 109.995 3.79467 -0.0960397 199.964 0.414976 -13 -2 1 0 1 -0.000620897 -0.204986 0.403625 0 0 0 
0.898496 -0.0167947 114.994 4.10876 -0.109022 199.958 0.433838 -13 -2 1 0 1 -0.000700082 -0.214619 0.406408 0 0 0 
1.00529 -0.0196948 119.993 4.43736 -0.123188 199.951 0.452701 -13 -2 1 0 1 -0.000785274 -0.224399 0.408922 0 0 0 
1.12049 -0.0229644 124.992 4.78064 -0.138593 199.943 0.471564 -13 -2 1 0 1 -0.000876423 -0.234315 0.411129 0 0 0 
1.24445 -0.0266353 129.99 5.1388 -0.155294 199.934 0.490426 -13 -2 1 0 1 -0.00097356 -0.244258 0.41297 0 0 0 
1.37755 -0.0307403 134.989 5.51173 -0.173338 199.924 0.509289 -13 -2 1 0 1 -0.00107655 -0.254276 0.414475 0 0 0 
1.52016 -0.0353138 139.987 5.89977 -0.19278 199.913 0.528151 -13 -2 1 0 1 -0.00118527 -0.264374 0.415652 0 0 0 
1.67266 -0.0403913 144.984 6.30273 -0.213663 199.901 0.547014 -13 -2 1 0 1 -0.00129967 -0.274386 0.416426 0 0 0 
1.83542 -0.0460093 149.982 6.72071 -0.236031 199.887 0.565876 -13 -2 1 0 1 -0.00141919 -0.284507 0.416889 0 0 0 
2.00882 -0.0522056 154.979 7.15369 -0.259925 199.872 0.584739 -13 -2 1 0 1 -0.00154371 -0.294598 0.416977 0 0 0 
