# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event -2 Track 1
-11.2945 14.0917 0 0.823201 -1.27215 224.995 0 -13 -2 1 0 1 0.0844236 -0.0883828 -2.26474 0 0 0 
-11.2945 14.0917 0.0005 0.823216 -1.27214 224.995 1.84269e-06 -13 -2 1 0 1 0.0844237 -0.0883829 -2.26473 0 0 0 
-10.2637 14.2045 99.9936 3.82571 1.83055 224.96 0.368514 -13 -2 1 0 1 0.0894597 -0.110496 -0.792035 0 0 0 
-7.80591 15.6121 199.952 7.41545 4.208 224.838 0.737025 -13 -2 1 0 1 0.0700955 -0.124427 0.804044 0 0 0 
-3.50769 17.5159 299.84 12.0219 3.69657 224.648 1.10554 -13 -2 1 0 1 0.0332922 -0.119279 2.2721 0 0 0 
2.73961 18.2265 399.639 15.5986 -1.21969 224.455 1.47405 -13 -2 1 0 1 0.00183468 -0.0762115 3.33536 0 0 0 
9.64166 16.0481 499.372 14.4803 -8.57577 224.37 1.84256 -13 -2 1 0 1 0.0129058 -0.00796265 3.73186 0 0 0 
14.8719 11.0407 599.104 8.57498 -13.1005 224.455 2.21107 -13 -2 1 0 1 0.0680955 0.0343685 3.34451 0 0 0 
17.2544 5.21861 698.903 2.54116 -12.3149 224.648 2.57958 -13 -2 1 0 1 0.121776 0.0274036 2.288 0 0 0 
17.6529 0.54449 798.791 -0.118858 -8.47984 224.84 2.9481 -13 -2 1 0 1 0.144566 -0.00241885 0.819195 0 0 0 
17.605 -2.25449 898.75 0.247205 -4.13029 224.962 3.31661 -13 -2 1 0 1 0.141992 -0.0258908 -0.777583 0 0 0 
18.004 -3.15168 998.744 1.50176 0.0586903 224.995 3.68512 -13 -2 1 0 1 0.120311 -0.0316913 -2.25062 0 0 0 
18.7543 -2.28048 1098.74 1.5546 3.66859 224.965 4.05363 -13 -2 1 0 1 0.0730719 -0.0226632 -3.32177 0 0 0 
19.1115 -0.201012 1198.71 -0.149906 5.19596 224.94 4.42214 -13 -2 1 0 1 0.00102795 -0.0151724 -3.72515 0 0 0 
18.6193 1.85949 1298.69 -1.86674 3.58489 224.964 4.79065 -13 -2 1 0 1 -0.0708242 -0.0209282 -3.34153 0 0 0 
17.7229 2.67928 1398.68 -1.85177 -0.0808113 224.992 5.15917 -13 -2 1 0 1 -0.117458 -0.028512 -2.28532 0 0 0 
17.1537 1.72036 1498.67 -0.669018 -4.25209 224.959 5.52768 -13 -2 1 0 1 -0.138058 -0.0217084 -0.815944 0 0 0 
16.9928 -1.10744 1598.63 -0.398996 -8.465 224.84 5.89619 -13 -2 1 0 1 -0.139515 0.00200652 0.780366 0 0 0 
16.3518 -5.72004 1698.52 -3.09348 -12.0353 224.657 6.2647 -13 -2 1 0 1 -0.116584 0.0309777 2.2519 0 0 0 
13.7462 -11.3495 1798.33 -8.99387 -12.5228 224.471 6.63321 -13 -2 1 0 1 -0.0649595 0.0365333 3.32246 0 0 0 
8.39109 -16.0582 1898.07 -14.6093 -7.84686 224.388 7.00172 -13 -2 1 0 1 -0.0137792 -0.00633914 3.7285 0 0 0 
1.49708 -17.9233 1997.81 -15.4522 -0.573381 224.468 7.37024 -13 -2 1 0 1 -0.00675929 -0.0735449 3.35167 0 0 0 
-4.65357 -16.9729 2097.61 -11.7655 4.11718 224.655 7.73875 -13 -2 1 0 1 -0.040637 -0.114933 2.30284 0 0 0 
-8.8468 -14.9367 2197.5 -7.22227 4.38712 224.841 8.10726 -13 -2 1 0 1 -0.0781799 -0.118958 0.83781 0 0 0 
-11.2503 -13.4989 2297.46 -3.77803 1.78975 224.961 8.47577 -13 -2 1 0 1 -0.0973913 -0.105243 -0.758855 0 0 0 
-12.286 -13.4532 2397.45 -0.87362 -1.53499 224.993 8.84428 -13 -2 1 0 1 -0.0915275 -0.0849846 -2.23865 0 0 0 
-11.981 -14.6681 2497.44 2.26835 -3.55511 224.961 9.21279 -13 -2 1 0 1 -0.0590911 -0.0509311 -3.31674 0 0 0 
-10.3763 -16.206 2597.42 4.64669 -2.91525 224.933 9.58131 -13 -2 1 0 1 -0.0142205 0.00587942 -3.72928 0 0 0 
-8.2607 -16.9893 2697.39 4.33667 -0.506098 224.958 9.94982 -13 -2 1 0 1 0.019017 0.0708315 -3.3557 0 0 0 
-6.94131 -16.723 2797.38 1.25907 1.52422 224.991 10.3183 -13 -2 1 0 1 0.0364405 0.115805 -2.30662 0 0 0 
-7.3057 -15.7672 2897.38 -2.94412 2.73127 224.964 10.6868 -13 -2 1 0 1 0.051855 0.130695 -0.840475 0 0 0 
-9.49951 -14.194 2997.34 -6.74909 4.61962 224.851 11.0554 -13 -2 1 0 1 0.0718948 0.120163 0.756211 0 0 0 
-13.0092 -11.3326 3097.23 -8.52328 8.63967 224.673 11.4239 -13 -2 1 0 1 0.0846405 0.0859317 2.23486 0 0 0 
-16.4416 -6.31956 3197.05 -6.08357 13.8463 224.491 11.7924 -13 -2 1 0 1 0.0638247 0.0385857 3.3125 0 0 0 
-17.7559 0.558456 3296.8 0.628118 16.2838 224.409 12.1609 -13 -2 1 0 1 0.00227697 0.0150876 3.72761 0 0 0 
-15.8988 7.33186 3396.54 7.23872 13.3915 224.485 12.5294 -13 -2 1 0 1 -0.0582336 0.0410871 3.36071 0 0 0 
